run_accession,tax_id,scientific_name,sample_alias,sample_title,sample_description,collection_date,location,country,study_accession,sample_accession,instrument_platform,instrument_model,library_strategy,library_source,library_selection,read_count,fastq_1,fastq_2
ERR14826211,2030908,Anodonta exulcerata,AC97,AC97,foot biopsy,2023-08-08,,Switzerland,PRJEB86155,SAMEA117760352,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,105549772,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/011/ERR14826211/ERR14826211_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/011/ERR14826211/ERR14826211_2.fastq.gz
ERR14826210,2030908,Anodonta exulcerata,AC96,AC96,foot biopsy,2023-08-08,,Switzerland,PRJEB86155,SAMEA117760351,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,99347550,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/010/ERR14826210/ERR14826210_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/010/ERR14826210/ERR14826210_2.fastq.gz
ERR12728312,9902,Bison bonasus,wisent_ETH_2,wisent,wisent,2022,,Switzerland,PRJEB71066,SAMEA115388353,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,812080666,ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/012/ERR12728312/ERR12728312_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/012/ERR12728312/ERR12728312_2.fastq.gz
ERR12728313,9902,Bison bonasus,wisent_ETH_3,wisent,wisent,2022,,Switzerland,PRJEB71066,SAMEA115388354,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,802178850,ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/013/ERR12728313/ERR12728313_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/013/ERR12728313/ERR12728313_2.fastq.gz
ERR12728315,9902,Bison bonasus,wisent_ETH_5,wisent,wisent,2022,,Switzerland,PRJEB71066,SAMEA115388356,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,770106180,ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/015/ERR12728315/ERR12728315_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/015/ERR12728315/ERR12728315_2.fastq.gz
ERR12728316,9902,Bison bonasus,wisent_ETH_6,wisent,wisent,2022,,Switzerland,PRJEB71066,SAMEA115388357,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,949182918,ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/016/ERR12728316/ERR12728316_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/016/ERR12728316/ERR12728316_2.fastq.gz
ERR12728314,9902,Bison bonasus,wisent_ETH_4,wisent,wisent,2022,,Switzerland,PRJEB71066,SAMEA115388355,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,725477652,ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/014/ERR12728314/ERR12728314_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/014/ERR12728314/ERR12728314_2.fastq.gz
ERR12728311,9902,Bison bonasus,wisent_ETH_1,wisent,wisent,2022,,Switzerland,PRJEB71066,SAMEA115388352,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,751032656,ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/011/ERR12728311/ERR12728311_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/011/ERR12728311/ERR12728311_2.fastq.gz
ERR16747652,9913,Bos taurus,ER1218,Eringer,blood sample,2021,,Switzerland,PRJEB83441,SAMEA121802725,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,623018374,ftp.sra.ebi.ac.uk/vol1/fastq/ERR167/052/ERR16747652/ERR16747652_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR167/052/ERR16747652/ERR16747652_2.fastq.gz
ERR14064512,9913,Bos taurus,RM5290,Holstein,blood sample,2024,,Switzerland,PRJEB83441,SAMEA117502137,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,604666948,ftp.sra.ebi.ac.uk/vol1/fastq/ERR140/012/ERR14064512/ERR14064512_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR140/012/ERR14064512/ERR14064512_2.fastq.gz
ERR14066859,9913,Bos taurus,RM4822,Holstein,blood sample,2022,,Switzerland,PRJEB83441,SAMEA117502199,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,593545412,ftp.sra.ebi.ac.uk/vol1/fastq/ERR140/059/ERR14066859/ERR14066859_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR140/059/ERR14066859/ERR14066859_2.fastq.gz
ERR14221720,9913,Bos taurus,RM5122a,Holstein,blood sample,2024,,Switzerland,PRJEB83441,SAMEA117502256,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,652207464,ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/020/ERR14221720/ERR14221720_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/020/ERR14221720/ERR14221720_2.fastq.gz
ERR14064021,9913,Bos taurus,RM4877,Limousin,blood sample,2022,,Switzerland,PRJEB83441,SAMEA117502164,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,597915772,ftp.sra.ebi.ac.uk/vol1/fastq/ERR140/021/ERR14064021/ERR14064021_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR140/021/ERR14064021/ERR14064021_2.fastq.gz
ERR16747777,9913,Bos taurus,RM6588,Charolais,blood sample,2025,,Switzerland,PRJEB83441,SAMEA121802732,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,779109894,ftp.sra.ebi.ac.uk/vol1/fastq/ERR167/077/ERR16747777/ERR16747777_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR167/077/ERR16747777/ERR16747777_2.fastq.gz
ERR14222210,9913,Bos taurus,RM5404a,Holstein,blood sample,2024,,Switzerland,PRJEB83441,SAMEA117502266,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,719663424,ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/010/ERR14222210/ERR14222210_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/010/ERR14222210/ERR14222210_2.fastq.gz
ERR14222206,9913,Bos taurus,RM5381a,Holstein,blood sample,2024,,Switzerland,PRJEB83441,SAMEA117502264,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,1196653462,ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR14222206/ERR14222206_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR14222206/ERR14222206_2.fastq.gz
ERR14064598,9913,Bos taurus,RM4786,Holstein,blood sample,2022,,Switzerland,PRJEB83441,SAMEA117502208,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,611076810,ftp.sra.ebi.ac.uk/vol1/fastq/ERR140/098/ERR14064598/ERR14064598_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR140/098/ERR14064598/ERR14064598_2.fastq.gz
ERR14222025,9913,Bos taurus,RM5336a,Holstein,blood sample,2024,,Switzerland,PRJEB83441,SAMEA117502263,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,1442519122,ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/025/ERR14222025/ERR14222025_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/025/ERR14222025/ERR14222025_2.fastq.gz
