run_accession,tax_id,scientific_name,study_accession,sample_accession,instrument_platform,instrument_model,library_strategy,library_source,library_selection,read_count,fastq_ftp
ERR14826215,2030908,Anodonta exulcerata,PRJEB86155,SAMEA117760356,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,141237358,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/015/ERR14826215/ERR14826215_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/015/ERR14826215/ERR14826215_2.fastq.gz
ERR14826199,2030908,Anodonta exulcerata,PRJEB86155,SAMEA117760340,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,139361522,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/099/ERR14826199/ERR14826199_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/099/ERR14826199/ERR14826199_2.fastq.gz
ERR14826212,2030908,Anodonta exulcerata,PRJEB86155,SAMEA117760353,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,136387346,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/012/ERR14826212/ERR14826212_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/012/ERR14826212/ERR14826212_2.fastq.gz
ERR14826205,2030908,Anodonta exulcerata,PRJEB86155,SAMEA117760346,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,128831306,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/005/ERR14826205/ERR14826205_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/005/ERR14826205/ERR14826205_2.fastq.gz
ERR14826208,2030908,Anodonta exulcerata,PRJEB86155,SAMEA117760349,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,128037176,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/008/ERR14826208/ERR14826208_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/008/ERR14826208/ERR14826208_2.fastq.gz
ERR14826209,2030908,Anodonta exulcerata,PRJEB86155,SAMEA117760350,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,124718672,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/009/ERR14826209/ERR14826209_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/009/ERR14826209/ERR14826209_2.fastq.gz
ERR14826206,2030908,Anodonta exulcerata,PRJEB86155,SAMEA117760347,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,122111638,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/006/ERR14826206/ERR14826206_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/006/ERR14826206/ERR14826206_2.fastq.gz
ERR14826198,2030908,Anodonta exulcerata,PRJEB86155,SAMEA117760339,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,118888716,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/098/ERR14826198/ERR14826198_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/098/ERR14826198/ERR14826198_2.fastq.gz
ERR14826213,2030908,Anodonta exulcerata,PRJEB86155,SAMEA117760354,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,108819672,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/013/ERR14826213/ERR14826213_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/013/ERR14826213/ERR14826213_2.fastq.gz
ERR14826200,2030908,Anodonta exulcerata,PRJEB86155,SAMEA117760341,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,107230542,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/000/ERR14826200/ERR14826200_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/000/ERR14826200/ERR14826200_2.fastq.gz
ERR14826211,2030908,Anodonta exulcerata,PRJEB86155,SAMEA117760352,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,105549772,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/011/ERR14826211/ERR14826211_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/011/ERR14826211/ERR14826211_2.fastq.gz
ERR14826210,2030908,Anodonta exulcerata,PRJEB86155,SAMEA117760351,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,99347550,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/010/ERR14826210/ERR14826210_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/010/ERR14826210/ERR14826210_2.fastq.gz
ERR12728316,9902,Bison bonasus,PRJEB71066,SAMEA115388357,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,949182918,ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/016/ERR12728316/ERR12728316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/016/ERR12728316/ERR12728316_2.fastq.gz
ERR12728315,9902,Bison bonasus,PRJEB71066,SAMEA115388356,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,770106180,ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/015/ERR12728315/ERR12728315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/015/ERR12728315/ERR12728315_2.fastq.gz
ERR12728314,9902,Bison bonasus,PRJEB71066,SAMEA115388355,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,725477652,ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/014/ERR12728314/ERR12728314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/014/ERR12728314/ERR12728314_2.fastq.gz
ERR12728311,9902,Bison bonasus,PRJEB71066,SAMEA115388352,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,751032656,ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/011/ERR12728311/ERR12728311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/011/ERR12728311/ERR12728311_2.fastq.gz
ERR12728313,9902,Bison bonasus,PRJEB71066,SAMEA115388354,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,802178850,ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/013/ERR12728313/ERR12728313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/013/ERR12728313/ERR12728313_2.fastq.gz
ERR12728312,9902,Bison bonasus,PRJEB71066,SAMEA115388353,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,812080666,ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/012/ERR12728312/ERR12728312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/012/ERR12728312/ERR12728312_2.fastq.gz
ERR14222025,9913,Bos taurus,PRJEB83441,SAMEA117502263,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,1442519122,ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/025/ERR14222025/ERR14222025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/025/ERR14222025/ERR14222025_2.fastq.gz
ERR14222206,9913,Bos taurus,PRJEB83441,SAMEA117502264,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,1196653462,ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR14222206/ERR14222206_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR14222206/ERR14222206_2.fastq.gz
ERR14222208,9913,Bos taurus,PRJEB83441,SAMEA117502265,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,945215988,ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR14222208/ERR14222208_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR14222208/ERR14222208_2.fastq.gz
ERR14221788,9913,Bos taurus,PRJEB83441,SAMEA117502259,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,794523816,ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/088/ERR14221788/ERR14221788_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/088/ERR14221788/ERR14221788_2.fastq.gz
ERR16747777,9913,Bos taurus,PRJEB83441,SAMEA121802732,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,779109894,ftp.sra.ebi.ac.uk/vol1/fastq/ERR167/077/ERR16747777/ERR16747777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR167/077/ERR16747777/ERR16747777_2.fastq.gz
ERR14222210,9913,Bos taurus,PRJEB83441,SAMEA117502266,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,719663424,ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/010/ERR14222210/ERR14222210_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/010/ERR14222210/ERR14222210_2.fastq.gz
ERR14222212,9913,Bos taurus,PRJEB83441,SAMEA117502267,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,680337902,ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/012/ERR14222212/ERR14222212_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/012/ERR14222212/ERR14222212_2.fastq.gz
ERR14221724,9913,Bos taurus,PRJEB83441,SAMEA117502258,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,668724772,ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/024/ERR14221724/ERR14221724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/024/ERR14221724/ERR14221724_2.fastq.gz
ERR14221720,9913,Bos taurus,PRJEB83441,SAMEA117502256,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,652207464,ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/020/ERR14221720/ERR14221720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/020/ERR14221720/ERR14221720_2.fastq.gz
ERR16747652,9913,Bos taurus,PRJEB83441,SAMEA121802725,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,623018374,ftp.sra.ebi.ac.uk/vol1/fastq/ERR167/052/ERR16747652/ERR16747652_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR167/052/ERR16747652/ERR16747652_2.fastq.gz
ERR14064598,9913,Bos taurus,PRJEB83441,SAMEA117502208,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,611076810,ftp.sra.ebi.ac.uk/vol1/fastq/ERR140/098/ERR14064598/ERR14064598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR140/098/ERR14064598/ERR14064598_2.fastq.gz
